*
* Created based on the data from H1 collaboration DESY-14-089, Eur. Phys. J. C75 (2015) 2, 65 [arxiv:1406.4709]
*
* Normalized cross section are given without units.
* 
* Last two columns are repeated for hadronisation corrections ('NPCorr') and their uncertainties.
*
!
&Data
   Name = 'H1 normalised trijets with unfolding'
   Reaction  = 'FastNLO ep jets normalised'

   NDATA = 16
   NColumn = 41
!
   ColumnType = 9*'Bin','Sigma',32*'Error'
   ColumnName = 'q2min', 'q2max', 'etmin', 'etmax', 'ymin','ymax','pt','NPCorr','Z0Corr','Sigma', 'stat', 'ignore', 'uncor', 'H1_MultiJets_DESY-14-089_lArN', 'H1_MultiJets_DESY-14-089_jes', 'H1_MultiJets_DESY-14-089_rces', 'H1_MultiJets_DESY-14-089_elE1', 'H1_MultiJets_DESY-14-089_elTh1', 'H1_MultiJets_DESY-14-089_eID1', 'H1_MultiJets_DESY-14-089_model1', 'H1_MultiJets_DESY-14-089_elE2', 'H1_MultiJets_DESY-14-089_elTh2', 'H1_MultiJets_DESY-14-089_eID2', 'H1_MultiJets_DESY-14-089_model2', 'H1_MultiJets_DESY-14-089_elE3', 'H1_MultiJets_DESY-14-089_elTh3', 'H1_MultiJets_DESY-14-089_eID3', 'H1_MultiJets_DESY-14-089_model3', 'H1_MultiJets_DESY-14-089_elE4', 'H1_MultiJets_DESY-14-089_elTh4', 'H1_MultiJets_DESY-14-089_eID4', 'H1_MultiJets_DESY-14-089_model4', 'H1_MultiJets_DESY-14-089_elE5', 'H1_MultiJets_DESY-14-089_elTh5', 'H1_MultiJets_DESY-14-089_eID5', 'H1_MultiJets_DESY-14-089_model5', 'H1_MultiJets_DESY-14-089_elE6', 'H1_MultiJets_DESY-14-089_elTh6', 'H1_MultiJets_DESY-14-089_eID6', 'H1_MultiJets_DESY-14-089_model6', 'ignore', 'ignore'

   NInfo   = 6
   DataInfo = 319.,       0.445,           1.,                 1.        , 3. ,     0.
   CInfo    = 'sqrt(S)', 'lumi(e-)/lumi(tot)', 'PublicationUnits', 'UseZMVFNS','MurDef', 'MufDef' 


   IndexDataset = 313

! theory file for kt algorithm
   TheoryInfoFile = 'datafiles/hera/h1/jets/1406.4709/fnh5003kt_I1301218.tab'
! theory file for anti-kt algorithm
!   TheoryInfoFile = 'datafiles/hera/h1/jets/1406.4709/fnh5003ak_I1301218.tab'
   TheoryType     = 'FastNLO'

   Percent   = 41*True
&End
&PlotDesc
   PlotN = 6
   PlotDefColumn = 'q2min'
   PlotDefValue = 100., 160., 220., 300., 500., 800., 5100.,20000.
   PlotVarColumn = 'pt'
   PlotOptions(1) = 'Experiment:H1@Title: 150 < Q^{2} < 200 GeV^{2} @XTitle:<P_{T}>_{3} (GeV)@YTitle:#sigma_{jet}/#sigma_{NC}@Xmin:7.0@Xmax:30.@Ymin:0.0005@Ymax:0.05@Xlog@Ylog'
   PlotOptions(2) = 'Experiment:H1@Title: 200 < Q^{2} < 270 GeV^{2} @XTitle:<P_{T}>_{3} (GeV)@YTitle:#sigma_{jet}/#sigma_{NC}@Xmin:7.0@Xmax:30.@Ymin:0.0005@Ymax:0.05@Xlog@Ylog'
   PlotOptions(3) = 'Experiment:H1@Title: 270 < Q^{2} < 400 GeV^{2} @XTitle:<P_{T}>_{3} (GeV)@YTitle:#sigma_{jet}/#sigma_{NC}@Xmin:7.0@Xmax:30.@Ymin:0.001@Ymax:0.05@Xlog@Ylog'
   PlotOptions(4) = 'Experiment:H1@Title: 400 < Q^{2} < 700 GeV^{2} @XTitle:<P_{T}>_{3} (GeV)@YTitle:#sigma_{jet}/#sigma_{NC}@Xmin:7.0@Xmax:30.@Ymin:0.001@Ymax:0.05@Xlog@Ylog'
   PlotOptions(5) = 'Experiment:H1@Title: 700 < Q^{2} < 5000 GeV^{2} @XTitle:<P_{T}>_{3} (GeV)@YTitle:#sigma_{jet}/#sigma_{NC}@Xmin:7.0@Xmax:30.@Ymin:0.001@Ymax:0.07@Xlog@Ylog'
   PlotOptions(6) = 'Experiment:H1@Title: 5000 < Q^{2} < 15000 GeV^{2} @XTitle:<P_{T}>_{3} (GeV)@YTitle:#sigma_{jet}/#sigma_{NC}@Xmin:7.0@Xmax:30.@Ymin:0.0025@Ymax:0.07@Xlog@Ylog'
&End
150 200 7 11     0.2 0.7  9.0 0.79 1.00  0.0112 8.9 3.8 2.82 0.9 -1.00 1.91 -0.265 0.225 -0.04 1.05 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0.79 5.3
150 200 11 18    0.2 0.7 14.5 0.85 1.00  0.0061 8.6 3.1 2.18 0.9 1.96 0.28 0.08 0.125 -0.03 0.53 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0.85 4.3
150 200 18 30    0.2 0.7 24.0 0.89 1.00  0.0010 18.0 7.3 5.82 0.9 2.99 -0.31 -0.485 0.7 -0.03 2.88 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0.89 3.6
200 270 7 11     0.2 0.7  9.0 0.78 1.00  0.0103 11.1 4.6 3.51 0.9 -1.17 2.11 0 0 0 0.00 -0.26 0.055 -0.03 -1.47 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0.78 5.0
200 270 11 18    0.2 0.7 14.5 0.84 1.00  0.0065 9.2 4.5 3.55 0.9 1.80 0.56 0 0 0 0.00 -0.225 0.305 -0.02 1.74 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0.84 4.4
200 270 18 30    0.2 0.7 24.0 0.89 1.00  0.0014 17.5 4.9 3.55 0.9 3.01 0.07 0 0 0 0.00 0.71 -0.115 0 -1.09 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0.89 2.7
270 400 7 11     0.2 0.7  9.0 0.78 1.00  0.0126 10.5 4.7 3.60 0.9 -1.17 2.26 0 0 0 0.00 0 0 0 0.00 -0.345 0.13 -0.05 -1.47 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0.78 4.6
270 400 11 18    0.2 0.7 14.5 0.85 1.00  0.0096 8.0 5.5 4.48 0.9 1.51 0.69 0 0 0 0.00 0 0 0 0.00 -0.625 0.3 -0.07 2.40 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0.85 3.7
270 400 18 30    0.2 0.7 24.0 0.87 1.00  0.0018 16.8 7.0 5.35 0.9 3.66 0.19 0 0 0 0.00 0 0 0 0.00 -0.555 0.71 -0.09 -2.25 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0.87 2.3
400 700 7 11     0.2 0.7  9.0 0.77 1.00  0.0140 11.1 8.2 6.90 0.9 -1.01 2.06 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 -0.295 0.135 -0.07 -3.76 0 0 0 0.00 0 0 0 0.00 0.77 4.1
400 700 11 18    0.2 0.7 14.5 0.85 1.00  0.0129 7.4 5.8 4.83 0.9 1.27 0.74 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 -0.805 0.15 -0.14 2.65 0 0 0 0.00 0 0 0 0.00 0.85 3.6
400 700 18 30    0.2 0.7 24.0 0.87 1.00  0.0031 13.8 6.2 4.54 0.9 3.83 0.29 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 -0.35 0.21 -0.26 1.40 0 0 0 0.00 0 0 0 0.00 0.87 2.3
700 5000 7 11    0.2 0.7  9.0 0.77 1.03  0.0180 9.8 7.5 6.25 0.9 -1.48 1.38 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 1.06 0.105 0.29 -3.42 0 0 0 0.00 0.77 3.5
700 5000 11 18   0.2 0.7 14.5 0.83 1.03  0.0162 7.4 4.0 3.23 0.9 0.75 0.62 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 -0.505 0.07 0.11 1.78 0 0 0 0.00 0.83 2.9
700 5000 18 30   0.2 0.7 24.0 0.86 1.03  0.0037 14.5 12.6 10.61 0.9 2.98 0.34 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 -0.935 0.45 -0.06 5.88 0 0 0 0.00 0.86 2.2
5000 15000 11 18 0.2 0.7 14.5 0.82 1.12  0.0141 37.8 2.4 1.81 0.9 -0.37 0.69 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0 0 0 0.00 0.41 -0.18 0.26 0.94 0.82 0.8

